"BehaviorSpace results (NetLogo 6.3.0)"
"Bozza modello netlogo 3.5 (review).nlogo"
"prova FB"
"08/22/2024 14:50:23:923 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","n-companies","debug","n-users","trigger-baseline","[step]","mean [ c-price ] of companies","mean [ c-sustainability ] of companies","mean [ c-quality ] of companies","counter-sales"
"2","2","false","15","1","1000","0.5735839509796441","0.3182888345421641","0.8311347311679402","0"
"1","2","false","15","1","1000","0.5116170920935403","0.2953709974472302","0.6522791471550917","0"
"3","3","false","15","1","1000","0.3300187698330581","0.5670532568140335","0.4629151668886357","0"
"4","3","false","15","1","1000","0.6195024616938464","0.341302898127308","0.570007972876721","0"
